"Transcript_ID"	"Accession_ID"	"species"
"TRINITY_DN420086_c0_g1_i1"	"P23611"	"IRF8_MOUSE"
"TRINITY_DN463358_c0_g1_i1"	"P23611"	"IRF8_MOUSE"
"TRINITY_DN469525_c0_g1_i1"	"P23611"	"IRF8_MOUSE"
"TRINITY_DN243734_c2_g1_i1"	"P16150"	"LEUK_HUMAN"
"TRINITY_DN243734_c2_g1_i2"	"P16150"	"LEUK_HUMAN"
"TRINITY_DN417378_c0_g1_i1"	"P16150"	"LEUK_HUMAN"
"TRINITY_DN541567_c0_g1_i1"	"A0A0A6YYK7"	"TVA19_HUMAN"
"TRINITY_DN351365_c0_g1_i2"	"Q8MIP0"	"FRIH_HORSE"
"TRINITY_DN124280_c3_g1_i2"	"Q9Z126"	"PLF4_MOUSE"
"TRINITY_DN7068_c0_g1_i28"	"P01850"	"TRBC1_HUMAN"
"TRINITY_DN266521_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN492658_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN480304_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN463298_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN497364_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN552489_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN547937_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN596202_c0_g1_i1"	"O60449"	"LY75_HUMAN"
"TRINITY_DN204868_c0_g2_i2"	"Q0VD59"	"MARH8_BOVIN"
"TRINITY_DN204868_c0_g2_i1"	"Q0VD59"	"MARH8_BOVIN"
"TRINITY_DN138642_c0_g1_i1"	"Q8N423"	"LIRB2_HUMAN"
"TRINITY_DN379601_c0_g1_i1"	"Q8N423"	"LIRB2_HUMAN"
"TRINITY_DN69719_c0_g1_i3"	"P01909"	"DQA1_HUMAN"
"TRINITY_DN69719_c0_g1_i5"	"P01909"	"DQA1_HUMAN"
"TRINITY_DN47952_c1_g1_i10"	"P61771"	"B2MG_GORGO"
"TRINITY_DN47952_c1_g1_i4"	"P61771"	"B2MG_GORGO"
"TRINITY_DN47952_c1_g1_i9"	"P61771"	"B2MG_GORGO"
"TRINITY_DN7444_c13_g1_i1"	"P61771"	"B2MG_GORGO"
"TRINITY_DN541227_c0_g1_i1"	"P41273"	"TNFL9_HUMAN"
"TRINITY_DN637640_c0_g1_i1"	"P40933"	"IL15_HUMAN"
"TRINITY_DN547782_c0_g1_i1"	"P04435"	"TVB79_HUMAN"
"TRINITY_DN491566_c0_g1_i1"	"P27870"	"VAV_MOUSE"
"TRINITY_DN559394_c0_g1_i1"	"P27870"	"VAV_MOUSE"
"TRINITY_DN48439_c0_g1_i1"	"P12544"	"GRAA_HUMAN"
"TRINITY_DN94440_c0_g2_i1"	"P00491"	"PNPH_HUMAN"
"TRINITY_DN50831_c0_g1_i11"	"Q7TNY1"	"BACD2_RAT"
"TRINITY_DN50831_c0_g1_i12"	"Q7TNY1"	"BACD2_RAT"
"TRINITY_DN50831_c0_g1_i16"	"Q7TNY1"	"BACD2_RAT"
"TRINITY_DN50831_c0_g1_i9"	"Q7TNY1"	"BACD2_RAT"
"TRINITY_DN494818_c0_g1_i1"	"P06909"	"CFAH_MOUSE"
"TRINITY_DN428762_c0_g1_i1"	"P06909"	"CFAH_MOUSE"
"TRINITY_DN189322_c0_g1_i1"	"Q92854"	"SEM4D_HUMAN"
"TRINITY_DN189322_c0_g1_i2"	"Q92854"	"SEM4D_HUMAN"
"TRINITY_DN360350_c0_g1_i1"	"Q92854"	"SEM4D_HUMAN"
"TRINITY_DN84184_c0_g1_i1"	"P09912"	"IFI6_HUMAN"
"TRINITY_DN84184_c0_g1_i2"	"P09912"	"IFI6_HUMAN"
"TRINITY_DN390691_c0_g1_i1"	"Q13094"	"LCP2_HUMAN"
"TRINITY_DN390691_c0_g1_i2"	"Q13094"	"LCP2_HUMAN"
"TRINITY_DN397783_c0_g1_i1"	"Q13094"	"LCP2_HUMAN"
"TRINITY_DN143175_c0_g2_i4"	"Q02556"	"IRF8_HUMAN"
"TRINITY_DN143175_c0_g2_i2"	"Q02556"	"IRF8_HUMAN"
"TRINITY_DN319_c2_g2_i2"	"P84022"	"SMAD3_HUMAN"
"TRINITY_DN439820_c0_g1_i1"	"P84022"	"SMAD3_HUMAN"
"TRINITY_DN594409_c0_g1_i1"	"P84022"	"SMAD3_HUMAN"
"TRINITY_DN537807_c0_g1_i1"	"O35601"	"FYB1_MOUSE"
"TRINITY_DN579348_c0_g1_i1"	"O35601"	"FYB1_MOUSE"
"TRINITY_DN461168_c0_g1_i1"	"P34972"	"CNR2_HUMAN"
"TRINITY_DN94803_c0_g1_i4"	"Q07021"	"C1QBP_HUMAN"
"TRINITY_DN94803_c0_g1_i2"	"Q07021"	"C1QBP_HUMAN"
"TRINITY_DN323359_c3_g1_i1"	"P50591"	"TNF10_HUMAN"
"TRINITY_DN6677_c0_g1_i13"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i19"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i20"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i12"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i22"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i16"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN6677_c0_g1_i28"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN311392_c0_g1_i6"	"Q92626"	"PXDN_HUMAN"
"TRINITY_DN442331_c0_g1_i1"	"P50453"	"SPB9_HUMAN"
"TRINITY_DN539124_c0_g1_i1"	"P50453"	"SPB9_HUMAN"
"TRINITY_DN648775_c0_g1_i1"	"P50453"	"SPB9_HUMAN"
"TRINITY_DN367390_c0_g1_i1"	"Q9TV48"	"CCR5_CERAS"
"TRINITY_DN271726_c0_g1_i1"	"O14862"	"AIM2_HUMAN"
"TRINITY_DN271726_c0_g1_i2"	"O14862"	"AIM2_HUMAN"
"TRINITY_DN38508_c0_g1_i1"	"P01743"	"HV146_HUMAN"
"TRINITY_DN306261_c1_g1_i1"	"P51677"	"CCR3_HUMAN"
"TRINITY_DN567930_c0_g1_i1"	"P51677"	"CCR3_HUMAN"
"TRINITY_DN626884_c0_g1_i1"	"P51677"	"CCR3_HUMAN"
"TRINITY_DN54198_c1_g1_i1"	"O76096"	"CYTF_HUMAN"
"TRINITY_DN51756_c1_g1_i1"	"P30375"	"1A01_GORGO"
"TRINITY_DN51756_c1_g1_i3"	"P30375"	"1A01_GORGO"
"TRINITY_DN5337_c0_g1_i20"	"P30375"	"1A01_GORGO"
"TRINITY_DN5337_c0_g1_i18"	"P30375"	"1A01_GORGO"
"TRINITY_DN199122_c0_g1_i21"	"P30375"	"1A01_GORGO"
"TRINITY_DN199122_c0_g1_i1"	"P30375"	"1A01_GORGO"
"TRINITY_DN12041_c0_g1_i1"	"P15330"	"DORS_DROME"
"TRINITY_DN12041_c0_g1_i5"	"P15330"	"DORS_DROME"
"TRINITY_DN12041_c0_g1_i6"	"P15330"	"DORS_DROME"
"TRINITY_DN12041_c0_g1_i7"	"P15330"	"DORS_DROME"
"TRINITY_DN12041_c0_g1_i3"	"P15330"	"DORS_DROME"
"TRINITY_DN12041_c0_g1_i2"	"P15330"	"DORS_DROME"
"TRINITY_DN461108_c0_g1_i1"	"Q07325"	"CXCL9_HUMAN"
"TRINITY_DN619793_c0_g1_i1"	"P15018"	"LIF_HUMAN"
"TRINITY_DN104065_c0_g1_i1"	"P09528"	"FRIH_MOUSE"
"TRINITY_DN539511_c0_g1_i1"	"P41274"	"TNFL9_MOUSE"
"TRINITY_DN429683_c0_g1_i1"	"A0JD36"	"TRDV2_HUMAN"
"TRINITY_DN198639_c0_g3_i1"	"P46531"	"NOTC1_HUMAN"
"TRINITY_DN514892_c0_g1_i1"	"P46531"	"NOTC1_HUMAN"
"TRINITY_DN461945_c0_g1_i1"	"O95976"	"IGSF6_HUMAN"
"TRINITY_DN637404_c0_g1_i1"	"O95976"	"IGSF6_HUMAN"
"TRINITY_DN189811_c0_g1_i1"	"P15498"	"VAV_HUMAN"
"TRINITY_DN438291_c0_g1_i1"	"P15498"	"VAV_HUMAN"
"TRINITY_DN438474_c0_g1_i1"	"P15498"	"VAV_HUMAN"
"TRINITY_DN533148_c0_g1_i1"	"P15498"	"VAV_HUMAN"
"TRINITY_DN624793_c0_g1_i1"	"P01584"	"IL1B_HUMAN"
"TRINITY_DN34103_c1_g1_i1"	"P31785"	"IL2RG_HUMAN"
"TRINITY_DN34103_c1_g1_i2"	"P31785"	"IL2RG_HUMAN"
"TRINITY_DN34103_c1_g1_i3"	"P31785"	"IL2RG_HUMAN"
"TRINITY_DN486288_c0_g1_i1"	"P06802"	"ENPP1_MOUSE"
"TRINITY_DN44741_c0_g1_i6"	"Q15399"	"TLR1_HUMAN"
"TRINITY_DN44741_c0_g1_i10"	"Q15399"	"TLR1_HUMAN"
"TRINITY_DN582201_c0_g1_i1"	"Q15399"	"TLR1_HUMAN"
"TRINITY_DN691_c0_g1_i3"	"P15538"	"C11B1_HUMAN"
"TRINITY_DN691_c0_g1_i2"	"P15538"	"C11B1_HUMAN"
"TRINITY_DN106996_c1_g1_i1"	"Q14005"	"IL16_HUMAN"
"TRINITY_DN106996_c1_g1_i2"	"Q14005"	"IL16_HUMAN"
"TRINITY_DN106996_c1_g1_i3"	"Q14005"	"IL16_HUMAN"
"TRINITY_DN65080_c1_g1_i14"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN276676_c0_g1_i1"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN365384_c0_g1_i1"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN438950_c0_g1_i1"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN580458_c0_g1_i1"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN624558_c0_g1_i1"	"Q12851"	"M4K2_HUMAN"
"TRINITY_DN130132_c1_g1_i1"	"P97430"	"SLPI_MOUSE"
"TRINITY_DN491217_c0_g1_i1"	"P09564"	"CD7_HUMAN"
"TRINITY_DN3812_c0_g1_i16"	"P30377"	"1A03_GORGO"
"TRINITY_DN3812_c0_g1_i9"	"P30377"	"1A03_GORGO"
"TRINITY_DN3812_c0_g1_i14"	"P30377"	"1A03_GORGO"
"TRINITY_DN446051_c0_g1_i1"	"O00626"	"CCL22_HUMAN"
"TRINITY_DN190044_c0_g1_i1"	"Q62293"	"TGTP1_MOUSE"
"TRINITY_DN190044_c0_g1_i2"	"Q62293"	"TGTP1_MOUSE"
"TRINITY_DN440003_c0_g1_i1"	"Q62293"	"TGTP1_MOUSE"
"TRINITY_DN548068_c0_g1_i1"	"Q62293"	"TGTP1_MOUSE"
"TRINITY_DN532504_c0_g1_i1"	"Q62293"	"TGTP1_MOUSE"
"TRINITY_DN92830_c2_g1_i2"	"Q86WI1"	"PKHL1_HUMAN"
"TRINITY_DN140114_c0_g2_i1"	"Q86WI1"	"PKHL1_HUMAN"
"TRINITY_DN151714_c0_g1_i2"	"Q86WI1"	"PKHL1_HUMAN"
"TRINITY_DN438555_c0_g1_i1"	"Q9Y487"	"VPP2_HUMAN"
"TRINITY_DN489043_c0_g1_i1"	"Q9Y487"	"VPP2_HUMAN"
"TRINITY_DN531946_c0_g1_i1"	"Q9Y487"	"VPP2_HUMAN"
"TRINITY_DN651183_c0_g1_i1"	"Q9Y487"	"VPP2_HUMAN"
"TRINITY_DN182032_c0_g1_i3"	"P04945"	"KV6AB_MOUSE"
"TRINITY_DN10598_c0_g1_i1"	"Q06643"	"TNFC_HUMAN"
"TRINITY_DN10598_c0_g1_i4"	"Q06643"	"TNFC_HUMAN"
"TRINITY_DN10598_c0_g1_i3"	"Q06643"	"TNFC_HUMAN"
"TRINITY_DN10598_c2_g1_i1"	"P41155"	"TNFC_MOUSE"
"TRINITY_DN10598_c0_g1_i2"	"P41155"	"TNFC_MOUSE"
"TRINITY_DN599701_c0_g1_i1"	"Q9UKI3"	"VPRE3_HUMAN"
"TRINITY_DN639240_c0_g1_i1"	"Q9UKI3"	"VPRE3_HUMAN"
"TRINITY_DN78973_c0_g1_i5"	"O00453"	"LST1_HUMAN"
"TRINITY_DN78973_c0_g1_i4"	"O00453"	"LST1_HUMAN"
"TRINITY_DN78973_c0_g1_i3"	"O00453"	"LST1_HUMAN"
"TRINITY_DN50368_c0_g1_i1"	"O43541"	"SMAD6_HUMAN"
"TRINITY_DN445797_c0_g1_i1"	"O18793"	"CCR2_MACMU"
"TRINITY_DN118301_c1_g1_i1"	"P35225"	"IL13_HUMAN"
"TRINITY_DN111283_c0_g2_i1"	"Q3ZKN1"	"CATK_CANLF"
"TRINITY_DN14229_c0_g1_i32"	"P30382"	"1B04_GORGO"
"TRINITY_DN14229_c0_g1_i30"	"P30382"	"1B04_GORGO"
"TRINITY_DN242146_c0_g1_i2"	"P16410"	"CTLA4_HUMAN"
"TRINITY_DN242146_c0_g1_i3"	"P16410"	"CTLA4_HUMAN"
"TRINITY_DN179936_c0_g1_i1"	"P02778"	"CXL10_HUMAN"
"TRINITY_DN276660_c0_g1_i2"	"P32971"	"TNFL8_HUMAN"
"TRINITY_DN276660_c0_g1_i1"	"P32971"	"TNFL8_HUMAN"
"TRINITY_DN616942_c0_g1_i1"	"P19875"	"CXCL2_HUMAN"
"TRINITY_DN603388_c0_g1_i1"	"P49238"	"CX3C1_HUMAN"
"TRINITY_DN441096_c0_g1_i1"	"Q9BQ51"	"PD1L2_HUMAN"
"TRINITY_DN596758_c0_g1_i1"	"Q9BQ51"	"PD1L2_HUMAN"
"TRINITY_DN501413_c0_g1_i1"	"Q8TCB0"	"IFI44_HUMAN"
"TRINITY_DN619575_c0_g1_i1"	"Q8TCB0"	"IFI44_HUMAN"
"TRINITY_DN94803_c0_g1_i1"	"O35796"	"C1QBP_RAT"
"TRINITY_DN94803_c0_g1_i3"	"O35796"	"C1QBP_RAT"
"TRINITY_DN485603_c0_g1_i1"	"P35408"	"PE2R4_HUMAN"
"TRINITY_DN501335_c0_g1_i1"	"P35408"	"PE2R4_HUMAN"
"TRINITY_DN47577_c2_g1_i2"	"P24394"	"IL4RA_HUMAN"
"TRINITY_DN47577_c2_g1_i1"	"P24394"	"IL4RA_HUMAN"
"TRINITY_DN47577_c2_g1_i3"	"P24394"	"IL4RA_HUMAN"
"TRINITY_DN367141_c0_g1_i2"	"P24394"	"IL4RA_HUMAN"
"TRINITY_DN367141_c0_g1_i1"	"P24394"	"IL4RA_HUMAN"
"TRINITY_DN298477_c1_g1_i1"	"O43557"	"TNF14_HUMAN"
"TRINITY_DN167265_c2_g1_i2"	"O15533"	"TPSN_HUMAN"
"TRINITY_DN167265_c2_g1_i1"	"O15533"	"TPSN_HUMAN"
"TRINITY_DN177329_c0_g1_i2"	"P84750"	"KVM5_MOUSE"
"TRINITY_DN406919_c0_g1_i1"	"P84750"	"KVM5_MOUSE"
"TRINITY_DN169537_c0_g1_i1"	"Q08857"	"CD36_MOUSE"
"TRINITY_DN247194_c0_g1_i1"	"Q08857"	"CD36_MOUSE"
"TRINITY_DN284451_c0_g1_i1"	"Q08857"	"CD36_MOUSE"
"TRINITY_DN197691_c0_g1_i1"	"Q13829"	"BACD2_HUMAN"
"TRINITY_DN372609_c0_g1_i1"	"Q13829"	"BACD2_HUMAN"
"TRINITY_DN142267_c0_g1_i3"	"P40200"	"TACT_HUMAN"
"TRINITY_DN142267_c0_g1_i2"	"P40200"	"TACT_HUMAN"
"TRINITY_DN142267_c0_g1_i4"	"P40200"	"TACT_HUMAN"
"TRINITY_DN142267_c0_g1_i7"	"P40200"	"TACT_HUMAN"
"TRINITY_DN142267_c0_g1_i6"	"P40200"	"TACT_HUMAN"
"TRINITY_DN142267_c0_g1_i5"	"P40200"	"TACT_HUMAN"
"TRINITY_DN534947_c0_g1_i1"	"P70380"	"IL18_MOUSE"
"TRINITY_DN312410_c0_g1_i1"	"Q9Y6K9"	"NEMO_HUMAN"
"TRINITY_DN437223_c0_g1_i1"	"Q9Y6K9"	"NEMO_HUMAN"
"TRINITY_DN455889_c0_g1_i1"	"Q9Y6K9"	"NEMO_HUMAN"
"TRINITY_DN118433_c0_g1_i5"	"Q6NZQ8"	"MARH1_MOUSE"
"TRINITY_DN118433_c0_g1_i3"	"Q6NZQ8"	"MARH1_MOUSE"
"TRINITY_DN118433_c0_g1_i2"	"Q6NZQ8"	"MARH1_MOUSE"
"TRINITY_DN553609_c0_g1_i1"	"Q6NZQ8"	"MARH1_MOUSE"
"TRINITY_DN504742_c0_g1_i1"	"P01658"	"KV3A6_MOUSE"
"TRINITY_DN50368_c0_g1_i2"	"O35182"	"SMAD6_MOUSE"
"TRINITY_DN104065_c0_g1_i4"	"P02794"	"FRIH_HUMAN"
"TRINITY_DN104065_c0_g1_i5"	"P02794"	"FRIH_HUMAN"
"TRINITY_DN620095_c0_g1_i1"	"O00574"	"CXCR6_HUMAN"
"TRINITY_DN218268_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN416691_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN442405_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN442517_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN424249_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN485103_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN631425_c0_g1_i1"	"Q03167"	"TGBR3_HUMAN"
"TRINITY_DN533186_c0_g1_i1"	"Q9EP73"	"PD1L1_MOUSE"
"TRINITY_DN350529_c0_g1_i1"	"O15117"	"FYB1_HUMAN"
"TRINITY_DN350529_c0_g1_i2"	"O15117"	"FYB1_HUMAN"
"TRINITY_DN502821_c0_g1_i1"	"O15117"	"FYB1_HUMAN"
"TRINITY_DN28524_c0_g1_i2"	"P20036"	"DPA1_HUMAN"
"TRINITY_DN28524_c0_g1_i3"	"P20036"	"DPA1_HUMAN"
"TRINITY_DN28524_c0_g1_i4"	"P20036"	"DPA1_HUMAN"
"TRINITY_DN277121_c0_g1_i2"	"Q92956"	"TNR14_HUMAN"
"TRINITY_DN277121_c0_g1_i1"	"Q92956"	"TNR14_HUMAN"
"TRINITY_DN183006_c0_g1_i1"	"P16391"	"HA12_RAT"
"TRINITY_DN183006_c0_g1_i2"	"P16391"	"HA12_RAT"
"TRINITY_DN460425_c0_g1_i1"	"Q9NZQ7"	"PD1L1_HUMAN"
"TRINITY_DN554846_c0_g1_i1"	"Q9NZQ7"	"PD1L1_HUMAN"
"TRINITY_DN582707_c0_g1_i1"	"Q9NZQ7"	"PD1L1_HUMAN"
"TRINITY_DN624590_c0_g1_i1"	"Q64610"	"ENPP2_RAT"
"TRINITY_DN158361_c0_g1_i1"	"Q04900"	"MUC24_HUMAN"
"TRINITY_DN580772_c0_g1_i1"	"P20023"	"CR2_HUMAN"
"TRINITY_DN87899_c0_g1_i2"	"Q95029"	"CATL_DROME"
"TRINITY_DN87899_c0_g1_i1"	"Q95029"	"CATL_DROME"
"TRINITY_DN13063_c1_g1_i1"	"Q95029"	"CATL_DROME"
"TRINITY_DN9808_c0_g2_i13"	"Q95029"	"CATL_DROME"
"TRINITY_DN9808_c0_g2_i18"	"Q95029"	"CATL_DROME"
"TRINITY_DN9808_c0_g2_i8"	"Q95029"	"CATL_DROME"
"TRINITY_DN9808_c0_g2_i29"	"Q95029"	"CATL_DROME"
"TRINITY_DN9808_c0_g2_i14"	"Q95029"	"CATL_DROME"
"TRINITY_DN226612_c0_g1_i1"	"Q95029"	"CATL_DROME"
"TRINITY_DN439350_c0_g1_i1"	"P31995"	"FCG2C_HUMAN"
"TRINITY_DN593533_c0_g1_i1"	"Q9Y275"	"TN13B_HUMAN"
"TRINITY_DN247701_c0_g1_i1"	"P16646"	"PMP22_MOUSE"
"TRINITY_DN557247_c0_g1_i1"	"P16646"	"PMP22_MOUSE"
"TRINITY_DN197691_c0_g1_i2"	"O70479"	"BACD2_MOUSE"
"TRINITY_DN372609_c0_g1_i2"	"O70479"	"BACD2_MOUSE"
"TRINITY_DN631883_c0_g1_i1"	"O70479"	"BACD2_MOUSE"
"TRINITY_DN579428_c0_g1_i1"	"P15248"	"IL9_HUMAN"
"TRINITY_DN188128_c0_g1_i2"	"P01899"	"HA11_MOUSE"
"TRINITY_DN188128_c0_g1_i5"	"P01899"	"HA11_MOUSE"
"TRINITY_DN188128_c0_g1_i11"	"P01899"	"HA11_MOUSE"
"TRINITY_DN71790_c1_g1_i16"	"P58681"	"TLR7_MOUSE"
"TRINITY_DN3812_c0_g1_i3"	"P30385"	"1C02_GORGO"
"TRINITY_DN3812_c0_g1_i7"	"P30385"	"1C02_GORGO"
"TRINITY_DN5337_c0_g1_i31"	"P30385"	"1C02_GORGO"
"TRINITY_DN199122_c0_g1_i16"	"P30385"	"1C02_GORGO"
"TRINITY_DN199122_c0_g1_i19"	"P30385"	"1C02_GORGO"
"TRINITY_DN151309_c0_g1_i1"	"P01635"	"KV5A3_MOUSE"
"TRINITY_DN188421_c0_g1_i2"	"P41597"	"CCR2_HUMAN"
"TRINITY_DN628604_c0_g1_i1"	"P41597"	"CCR2_HUMAN"
"TRINITY_DN95413_c0_g1_i1"	"P01597"	"KV139_HUMAN"
"TRINITY_DN56632_c1_g1_i7"	"P01597"	"KV139_HUMAN"
"TRINITY_DN56632_c1_g1_i6"	"P01597"	"KV139_HUMAN"
"TRINITY_DN306261_c0_g1_i1"	"P32246"	"CCR1_HUMAN"
"TRINITY_DN532669_c0_g1_i1"	"P32246"	"CCR1_HUMAN"
"TRINITY_DN182032_c0_g1_i2"	"P04940"	"KV6A6_MOUSE"
"TRINITY_DN497516_c0_g1_i1"	"P01582"	"IL1A_MOUSE"
"TRINITY_DN541769_c0_g1_i1"	"Q13822"	"ENPP2_HUMAN"
"TRINITY_DN593516_c0_g1_i1"	"P40259"	"CD79B_HUMAN"
"TRINITY_DN389212_c0_g1_i2"	"Q9Y255"	"PRLD1_HUMAN"
"TRINITY_DN389212_c0_g1_i1"	"Q9Y255"	"PRLD1_HUMAN"
"TRINITY_DN230737_c0_g1_i1"	"A0A075B6H9"	"LV469_HUMAN"
"TRINITY_DN622139_c0_g1_i1"	"P25445"	"TNR6_HUMAN"
"TRINITY_DN579618_c0_g1_i1"	"P61073"	"CXCR4_HUMAN"
"TRINITY_DN494693_c0_g1_i1"	"Q9Y5P4"	"CERT_HUMAN"
"TRINITY_DN434985_c0_g1_i1"	"Q9Y5P4"	"CERT_HUMAN"
"TRINITY_DN542622_c0_g1_i1"	"Q9Y5P4"	"CERT_HUMAN"
"TRINITY_DN171863_c0_g1_i2"	"P03986"	"TRGC2_HUMAN"
"TRINITY_DN454345_c0_g1_i1"	"O15111"	"IKKA_HUMAN"
"TRINITY_DN578552_c0_g1_i1"	"O15111"	"IKKA_HUMAN"
"TRINITY_DN607761_c0_g1_i1"	"O15111"	"IKKA_HUMAN"
"TRINITY_DN617922_c0_g1_i1"	"O15111"	"IKKA_HUMAN"
"TRINITY_DN335640_c0_g1_i1"	"O75569"	"PRKRA_HUMAN"
"TRINITY_DN423567_c0_g1_i1"	"O75569"	"PRKRA_HUMAN"
"TRINITY_DN575892_c0_g1_i1"	"P78556"	"CCL20_HUMAN"
"TRINITY_DN348733_c1_g1_i1"	"P56485"	"ACKR3_MOUSE"
"TRINITY_DN460445_c0_g1_i1"	"P56485"	"ACKR3_MOUSE"
"TRINITY_DN110939_c0_g1_i3"	"Q17DK2"	"NAA25_AEDAE"
"TRINITY_DN550990_c0_g1_i1"	"O08750"	"NFIL3_MOUSE"
"TRINITY_DN592002_c0_g1_i1"	"O08750"	"NFIL3_MOUSE"
"TRINITY_DN424739_c0_g1_i1"	"Q9Y5Y4"	"PD2R2_HUMAN"
"TRINITY_DN535798_c0_g1_i1"	"Q9Y5Y4"	"PD2R2_HUMAN"
"TRINITY_DN601394_c0_g1_i1"	"Q9Y5Y4"	"PD2R2_HUMAN"
"TRINITY_DN378716_c0_g1_i1"	"P43489"	"TNR4_HUMAN"
"TRINITY_DN177329_c0_g1_i1"	"P01633"	"KV5A1_MOUSE"
"TRINITY_DN295007_c0_g1_i1"	"P01633"	"KV5A1_MOUSE"
"TRINITY_DN497189_c0_g1_i1"	"P01854"	"IGHE_HUMAN"
"TRINITY_DN594461_c0_g1_i1"	"Q08334"	"I10R2_HUMAN"
"TRINITY_DN582406_c0_g1_i1"	"Q08334"	"I10R2_HUMAN"
"TRINITY_DN397646_c0_g1_i1"	"O54907"	"TNF12_MOUSE"
"TRINITY_DN438285_c0_g1_i1"	"P10966"	"CD8B_HUMAN"
"TRINITY_DN146939_c2_g1_i5"	"P01715"	"LV301_HUMAN"
"TRINITY_DN146939_c2_g1_i6"	"P01715"	"LV301_HUMAN"
"TRINITY_DN2894_c0_g1_i4"	"P01897"	"HA1L_MOUSE"
"TRINITY_DN454951_c0_g1_i1"	"P01897"	"HA1L_MOUSE"
"TRINITY_DN151135_c0_g3_i2"	"Q9Y3Z3"	"SAMH1_HUMAN"
"TRINITY_DN151135_c0_g3_i1"	"Q9Y3Z3"	"SAMH1_HUMAN"
"TRINITY_DN467824_c0_g1_i1"	"Q9BXR5"	"TLR10_HUMAN"
"TRINITY_DN579779_c0_g1_i1"	"Q3TTA7"	"CBLB_MOUSE"
"TRINITY_DN356471_c0_g1_i1"	"P01703"	"LV140_HUMAN"
"TRINITY_DN369429_c0_g1_i1"	"P01730"	"CD4_HUMAN"
"TRINITY_DN7239_c0_g1_i5"	"P13236"	"CCL4_HUMAN"
"TRINITY_DN7239_c0_g1_i6"	"P13236"	"CCL4_HUMAN"
"TRINITY_DN7481_c0_g1_i2"	"P17676"	"CEBPB_HUMAN"
"TRINITY_DN454118_c0_g1_i1"	"Q04683"	"CXCR5_MOUSE"
"TRINITY_DN115500_c0_g2_i1"	"P53568"	"CEBPG_MOUSE"
"TRINITY_DN303481_c0_g1_i1"	"P04141"	"CSF2_HUMAN"
"TRINITY_DN552119_c0_g1_i1"	"P36894"	"BMR1A_HUMAN"
"TRINITY_DN586962_c0_g1_i1"	"P01638"	"KV5A6_MOUSE"
"TRINITY_DN320996_c0_g1_i1"	"Q02086"	"SP2_HUMAN"
"TRINITY_DN420711_c0_g1_i1"	"Q02086"	"SP2_HUMAN"
"TRINITY_DN416835_c0_g1_i1"	"Q02086"	"SP2_HUMAN"
"TRINITY_DN56632_c1_g1_i1"	"P01594"	"KV133_HUMAN"
"TRINITY_DN268627_c0_g1_i1"	"P01594"	"KV133_HUMAN"
"TRINITY_DN146939_c0_g2_i1"	"P01700"	"LV147_HUMAN"
"TRINITY_DN24677_c0_g1_i12"	"Q01629"	"IFM2_HUMAN"
"TRINITY_DN24677_c0_g1_i8"	"Q01629"	"IFM2_HUMAN"
"TRINITY_DN498517_c0_g1_i1"	"Q9NR96"	"TLR9_HUMAN"
"TRINITY_DN44158_c1_g1_i2"	"O43561"	"LAT_HUMAN"
"TRINITY_DN44158_c1_g1_i1"	"O43561"	"LAT_HUMAN"
"TRINITY_DN82044_c1_g1_i1"	"Q6TMK4"	"POXA_DICDI"
"TRINITY_DN451711_c0_g1_i1"	"P42081"	"CD86_HUMAN"
"TRINITY_DN508530_c0_g1_i1"	"P42081"	"CD86_HUMAN"
"TRINITY_DN182032_c0_g1_i1"	"P01680"	"KV4A1_MOUSE"
"TRINITY_DN305995_c0_g1_i1"	"P05113"	"IL5_HUMAN"
